DDB_G0267940	DDB_G0267940
DDB_G0267942	DDB_G0267942
DDB_G0267946	DDB_G0267946
DDB_G0267948	ccdc53
DDB_G0267950	copE
DDB_G0267952	DDB_G0267952
DDB_G0267954	DDB_G0267954
DDB_G0267956	abiA
DDB_G0267958	DDB_G0267958
DDB_G0267960	cog4
DDB_G0267962	tsuA
DDB_G0267964	DDB_G0267964
DDB_G0267966	pyd1
DDB_G0267968	DDB_G0267968
DDB_G0267970	DDB_G0267970
DDB_G0267974	DDB_G0267974
DDB_G0267976	aph1
DDB_G0267978	krsB
DDB_G0267980	mocs3
DDB_G0267982	copA
DDB_G0267984	DDB_G0267984
DDB_G0267986	DDB_G0267986
DDB_G0267988	DDB_G0267988
DDB_G0267990	ypel
DDB_G0267992	DDB_G0267992
DDB_G0267994	DDB_G0267994
DDB_G0267996	DDB_G0267996
DDB_G0267998	psiS
DDB_G0268000	psiB
DDB_G0268002	DDB_G0268002_ps
DDB_G0268004	snrp70
DDB_G0268006	DDB_G0268006
DDB_G0268008	DDB_G0268008
DDB_G0268010	DDB_G0268010
DDB_G0268012	DDB_G0268012
DDB_G0268014	gtf2h1
DDB_G0268016	DDB_G0268016
DDB_G0268018	DDB_G0268018
DDB_G0268020	bkdB
DDB_G0268022	DDB_G0268022
DDB_G0268024	hdaA
DDB_G0268026	DDB_G0268026
DDB_G0268028	DDB_G0268028
DDB_G0268030	DDB_G0268030
DDB_G0268034	DDB_G0268034
DDB_G0268036	DDB_G0268036
DDB_G0268038	mtpn
DDB_G0268040	DDB_G0268040
DDB_G0268042	DDB_G0268042
DDB_G0268044	DDB_G0268044
DDB_G0268046	DDB_G0268046
DDB_G0268048	DDB_G0268048
DDB_G0268050	DDB_G0268050
DDB_G0268052	DDB_G0268052
DDB_G0268054	DDB_G0268054
DDB_G0268056	sptA
DDB_G0268058	alrC
DDB_G0268060	DDB_G0268060
DDB_G0268062	DDB_G0268062
DDB_G0268064	DDB_G0268064
DDB_G0268066	DDB_G0268066
DDB_G0268068	rab6
DDB_G0268070	DDB_G0268070
DDB_G0268072	DDB_G0268072
DDB_G0268074	DDB_G0268074
DDB_G0268076	DDB_G0268076
DDB_G0268078	DDB_G0268078
DDB_G0268080	rpc3
DDB_G0268082	DDB_G0268082
DDB_G0268084	wdr91
DDB_G0268086	DDB_G0268086
DDB_G0268088	lvsG
DDB_G0268090	DDB_G0268090
DDB_G0268092	DDB_G0268092
DDB_G0268094	DDB_G0268094
DDB_G0268096	DDB_G0268096
DDB_G0268098	nop58
DDB_G0268100	asnS2
DDB_G0268102	DDB_G0268102
DDB_G0268104	gabT
DDB_G0268106	DDB_G0268106
DDB_G0268108	DDB_G0268108
DDB_G0268110	DDB_G0268110
DDB_G0268112	DDB_G0268112
DDB_G0268114	DDB_G0268114
DDB_G0268116	DDB_G0268116
DDB_G0268118	DDB_G0268118
DDB_G0268120	DDB_G0268120_ps
DDB_G0268122	DDB_G0268122
DDB_G0268124	DDB_G0268124_ps
DDB_G0268126	DDB_G0268126
DDB_G0268128	DDB_G0268128_RTE
DDB_G0268130	DDB_G0268130
DDB_G0268132	DDB_G0268132
DDB_G0268134	DDB_G0268134
DDB_G0268136	DDB_G0268136
DDB_G0268138	DDB_G0268138
DDB_G0268140	DDB_G0268140
DDB_G0268142	DDB_G0268142
DDB_G0268144	vwkA
DDB_G0268146	DDB_G0268146
DDB_G0268148	DDB_G0268148
DDB_G0268150	DDB_G0268150_ps
DDB_G0268152	DDB_G0268152
DDB_G0268154	DDB_G0268154
DDB_G0268156	DDB_G0268156
DDB_G0268158	DDB_G0268158
DDB_G0268160	gnt12
DDB_G0268162	DDB_G0268162
DDB_G0268164	DDB_G0268164
DDB_G0268166	DDB_G0268166
DDB_G0268168	png
DDB_G0268170	DDB_G0268170
DDB_G0268172	DDB_G0268172
DDB_G0268174	DDB_G0268174
DDB_G0268176	DDB_G0268176
DDB_G0268178	jcdB
DDB_G0268180	DDB_G0268180
DDB_G0268182	DDB_G0268182
DDB_G0268184	DDB_G0268184
DDB_G0268186	DDB_G0268186
DDB_G0268188	DDB_G0268188
DDB_G0268190	fut11
DDB_G0268192	DDB_G0268192
DDB_G0268194	DDB_G0268194
DDB_G0268196	DDB_G0268196
DDB_G0268198	rpa43
DDB_G0268200	DDB_G0268200
DDB_G0268202	DDB_G0268202
DDB_G0268204	gnt9
DDB_G0268206	DDB_G0268206
DDB_G0268208	DDB_G0268208
DDB_G0268210	DDB_G0268210
DDB_G0268212	DDB_G0268212
DDB_G0268214	enoB
DDB_G0268216	fncD2
DDB_G0268218	DDB_G0268218
DDB_G0268220	DDB_G0268220
DDB_G0268222	DDB_G0268222
DDB_G0268224	DDB_G0268224
DDB_G0268226	DDB_G0268226
DDB_G0268228	DDB_G0268228
