	orig.ident	nCount_RNA	nFeature_RNA	cell_cycle	RNA_snn_res.0.4	seurat_clusters	nCount_unspliced	nFeature_unspliced	nCount_spliced	nFeature_spliced	initial_size_unspliced	initial_size_spliced	initial_size	n_counts	velocity_self_transition	velocity_length	velocity_confidence	velocity_confidence_transition	Endpoints	root_cells	end_points	velocity_pseudotime	latent_time
HEK293T_A57	0	191857.0	9788	2	0	0	82610.0	8102	191857.0	9788	82610.0	191857.0	191857.0	211928.63441521546	0.26318604	81.39	0.9309535462935957	0.505260222529743	0	7.271829712553199e-06	0.10354558178705411	0.9221585988998413	0.9760139899407159
HEK293T_A58	0	220953.0	10122	3	3	3	148691.0	9133	220953.0	10122	148691.0	220953.0	220953.0	211534.0	0.22981822	79.33	0.9800263941525955	0.566923284601855	0	1.6090692629899687e-08	0.5581603499718111	0.9689385294914246	0.9919990253423862
HEK293T_A59	0	187668.0	9366	1	0	0	71521.0	7666	187668.0	9366	71521.0	187668.0	187668.0	211182.08035999746	0.32528114	85.78	0.8398343860154286	0.4245071990118157	0	6.672336678782841e-06	0.0005695563843640334	0.8329818248748779	0.9046581872717453
HEK293T_A60	0	154379.0	9525	2	0	0	76039.0	8046	154379.0	9525	76039.0	154379.0	154379.0	211937.63555924056	0.29491934	63.11	0.9128903193348443	0.4567302937015443	0	4.940460970713088e-06	0.00044867607116499383	0.8573216795921326	0.9095951926658855
HEK293T_A61	0	211112.0	10080	3	1	1	155811.0	9274	211112.0	10080	155811.0	211112.0	211112.0	213288.637865209	0.05567211	79.09	0.9288281181101793	0.7064717377739983	0	0.019574698177537347	0.000490810156797871	0.25325679779052734	0.5296156644319309
HEK293T_A62	0	182175.0	10028	3	3	3	130555.0	8945	182175.0	10028	130555.0	182175.0	182175.0	210915.3602140799	0.45284498	77.92	0.9858019210369399	0.317903279308526	0	2.828851056609838e-08	0.9891742044962532	1.0	0.9947821141694069
HEK293T_A63	0	283412.0	10458	2	0	0	161883.0	9213	283412.0	10458	161883.0	283412.0	283412.0	211444.00341199388	0.3039591	63.16	0.945293857707313	0.43355453703617464	0	8.514250462822939e-07	0.0035219507808591888	0.9056842923164368	0.928396317856366
HEK293T_A64	0	218881.0	10238	3	3	3	128364.0	9052	218881.0	10238	128364.0	218881.0	218881.0	212054.55429205825	0.28856057	78.11	0.9795437549185355	0.5056621161693756	0	5.342241142353617e-09	0.9443470260853967	0.9690809845924377	0.9825618964747184
HEK293T_A65	0	274440.0	10879	3	2	2	186907.0	9703	274440.0	10879	186907.0	274440.0	274440.0	213046.86947966766	0.17515057	51.87	0.9679195178312445	0.5949461087403681	0	1.0	0.0	0.0	0.0
HEK293T_A66	0	200853.0	10059	1	4	4	122453.0	8860	200853.0	10059	122453.0	200853.0	200853.0	213261.28827052622	0.5039114	48.52	0.7630555576586239	0.26087574295423077	0	4.939243281106074e-06	0.0009860185066448497	0.5009065270423889	0.7899321973984919
HEK293T_A67	0	162394.0	9447	2	3	3	124874.0	8597	162394.0	9447	124874.0	162394.0	162394.0	211224.72216953826	0.19429368	81.01	0.9656962280754147	0.5820753112557627	0	5.0150077606036804e-08	0.09757429343909109	0.9670892357826233	0.9652401162719167
HEK293T_A68	0	277804.0	10704	1	0	0	216683.0	9797	277804.0	10704	216683.0	277804.0	277804.0	210756.5396898533	0.21364272	82.62	0.9741072830861328	0.5618843087261938	0	4.763077764896254e-08	0.18243050974410802	0.9962363243103027	0.9681956793939824
HEK293T_A69	0	183182.0	9842	1	4	4	127282.0	8770	183182.0	9842	127282.0	183182.0	183182.0	212941.46051467938	0.12761974	62.71	0.8510868101303409	0.6620250090517823	0	0.003053611421654273	0.000925794608855581	0.3874284029006958	0.6608686446931334
HEK293T_A70	0	161842.0	9509	3	3	3	111225.0	8657	161842.0	9509	111225.0	161842.0	161842.0	210304.136293422	0.1920197	82.08	0.9357044148488343	0.5477775444005747	0	4.8450807273225713e-08	0.08195787137815902	0.9553399085998535	0.9595196593321097
HEK293T_A71	0	188147.0	9849	2	0	0	98884.0	8469	188147.0	9849	98884.0	188147.0	188147.0	211819.97379708418	0.2926019	74.18	0.9016944988250608	0.48630427853126496	0	1.33119578738491e-07	0.014995172693236492	0.9427858591079712	0.921854548749258
HEK293T_A72	0	244515.0	10427	1	4	4	161336.0	9404	244515.0	10427	161336.0	244515.0	244515.0	212949.47988466965	0.5254264	47.59	0.8877456471593446	0.20486190333672957	0	3.3675545243797583e-06	0.0009361028517173022	0.4625760316848755	0.801801265426427
HEK293T_A73	0	160085.0	9283	2	0	0	125260.0	8272	160085.0	9283	125260.0	160085.0	160085.0	210109.9680607178	0.32185808	64.11	0.9383653351900593	0.42262813973564756	0	1.5099723401329107e-06	0.00230826717856937	0.8885561227798462	0.9200627570268624
HEK293T_A74	0	189738.0	9866	2	0	0	87387.0	8218	189738.0	9866	87387.0	189738.0	189738.0	211625.22417227965	0.12779093	71.74	0.9248728920339411	0.6359069846081521	0	1.123281976875686e-07	0.01704122369780065	0.9601889848709106	0.9434495302876957
HEK293T_A75	0	305275.0	10514	3	2	2	176745.0	9312	305275.0	10514	176745.0	305275.0	305275.0	211927.4200802555	0.17515057	51.87	0.9679195178312445	0.5949461087403681	0	1.0	0.0	0.00047587265726178885	0.0
HEK293T_A76	0	315524.0	10723	3	3	3	217872.0	9748	315524.0	10723	217872.0	315524.0	315524.0	210851.5591428861	0.19746667	81.19	0.952690853096929	0.5795166671044166	0	5.784333483042619e-08	0.08744564497516986	0.962819516658783	0.9655045052184514
HEK293T_A77	0	329468.0	10678	2	0	0	207911.0	9555	329468.0	10678	207911.0	329468.0	329468.0	212048.96992424148	0.28617924	69.56	0.9449844349604314	0.4787731014678459	0	7.039076872485679e-07	0.01043929848526901	0.9253409504890442	0.9238743994877535
HEK293T_A78	0	324211.0	11019	2	0	0	208431.0	9658	324211.0	11019	208431.0	324211.0	324211.0	211292.59743808815	0.11827278	81.5	0.9310808876121336	0.6682739769435821	0	7.169423672538075e-08	0.07518263503639766	0.9912141561508179	0.9757891521710735
HEK293T_A79	0	263788.0	10416	1	1	1	192268.0	9327	263788.0	10416	192268.0	263788.0	263788.0	212981.4103105524	0.0693267	70.87	0.8997755585826492	0.7262334537790768	0	0.00034018913925914997	0.0007713686112215496	0.3481905460357666	0.5876123073293377
HEK293T_A80	0	203482.0	10370	1	0	0	190188.0	9525	203482.0	10370	190188.0	203482.0	203482.0	212370.36118182447	0.23791665	84.12	0.9217738306046316	0.5333949097854775	0	4.658083215917042e-06	0.012273635936833999	0.8622931838035583	0.9286387927503332
HEK293T_A81	0	166406.0	9494	1	0	0	110909.0	8480	166406.0	9494	110909.0	166406.0	166406.0	212975.60961744166	0.3896861	49.73	0.6550859763867463	0.37040716470685536	0	7.323624411856487e-06	0.0009673050451296082	0.7026845812797546	0.8304575146655084
HEK293T_A82	0	176694.0	9651	3	2	2	73248.0	8029	176694.0	9651	73248.0	176694.0	176694.0	213470.10441780704	0.12320739	56.27	0.9785032986323261	0.6504273544929162	0	0.9205364960857048	1.9437569202006313e-09	0.006832186132669449	0.013326434728422308
HEK293T_B01	0	295233.0	10695	3	2	2	150349.0	9324	295233.0	10695	150349.0	295233.0	295233.0	215082.53385292293	0.17515057	51.87	0.9679195178312445	0.5949461090022465	0	1.0	0.0	0.026379523798823357	0.0
HEK293T_B02	0	209808.0	9787	3	1	1	159056.0	9141	209808.0	9787	159056.0	209808.0	209808.0	212445.89667696183	0.01078099	86.75	0.9321998474726817	0.7726641661492414	0	0.0611680434673859	0.00034707979050584224	0.10628397017717361	0.3489557358694214
HEK293T_B03	0	259865.0	10432	3	2	2	193475.0	9227	259865.0	10432	193475.0	259865.0	259865.0	214003.81919842996	0.10090947	58.71	0.980538892870489	0.6725310834492585	0	0.9205364960857048	1.9437569202006313e-09	0.0064879776909947395	0.02053823014360983
HEK293T_B04	0	258852.0	10604	2	0	0	216546.0	9550	258852.0	10604	216546.0	258852.0	258852.0	211844.36084326176	0.25850737	64.75	0.9527902349693418	0.47824391650664877	0	1.8836452084277567e-07	0.010444166809131484	0.9213960766792297	0.9056589793182578
HEK293T_B05	0	235264.0	10129	2	0	0	175923.0	9088	235264.0	10129	175923.0	235264.0	235264.0	212753.1026803931	0.34339875	63.93	0.9369091569721327	0.3982868739521109	0	2.275784556925409e-06	0.00037039843068691097	0.8931955695152283	0.9159301455145599
HEK293T_B06	0	236704.0	10189	3	1	1	165510.0	9287	236704.0	10189	165510.0	236704.0	236704.0	214002.47935818575	0.0	86.3	0.9320474928134792	0.7833054137990856	0	0.05678092641421772	0.00040759380071636993	0.11388164758682251	0.3749842121517759
HEK293T_B07	0	237762.0	10359	3	0	0	172468.0	9209	237762.0	10359	172468.0	237762.0	237762.0	211252.0033436798	0.25551057	81.14	0.9735885639908255	0.5352338398672963	0	5.0394851791972534e-08	0.14293304068602206	0.991731584072113	0.9639828335509147
HEK293T_B08	0	208585.0	9626	2	0	0	69753.0	7841	208585.0	9626	69753.0	208585.0	208585.0	212035.85661001512	0.21826005	63.16	0.959295612366227	0.531333006992152	0	1.9712979496877224e-07	0.0055298141392751705	0.9163972735404968	0.9316064572374934
HEK293T_B09	0	286950.0	10560	2	0	0	208988.0	9762	286950.0	10560	208988.0	286950.0	286950.0	212104.8699320439	0.20363754	81.09	0.8750344554726163	0.5735141945502006	0	1.1776365555794377e-05	0.038309071265564265	0.8711700439453125	0.9414338586904952
