	orig.ident	nCount_RNA	nFeature_RNA	cell_cycle	RNA_snn_res.0.4	seurat_clusters	nCount_unspliced	nFeature_unspliced	nCount_spliced	nFeature_spliced	initial_size_spliced	initial_size_unspliced	initial_size	n_counts	velocity_self_transition	velocity_length	velocity_confidence	velocity_confidence_transition	Endpoints	root_cells	end_points	velocity_pseudotime	latent_time
HEK293T_A57	0	191857.0	9788	2	0	0	82610.0	8102	191857.0	9788	191857.0	82610.0	191857.0	211928.63441521546	0.26322204	81.39	0.9309383493399692	0.5051507860973983	0	7.251398737646254e-06	0.103671926077146	0.9242935180664062	0.9645908851522841
HEK293T_A58	0	220953.0	10122	3	3	3	148691.0	9133	220953.0	10122	220953.0	148691.0	220953.0	211534.0	0.22990412	79.35	0.9800122781901491	0.5666393321554101	0	1.004218061331035e-09	0.5581961630403124	0.9718888401985168	0.9914099229036772
HEK293T_A59	0	187668.0	9366	1	0	0	71521.0	7666	187668.0	9366	187668.0	71521.0	187668.0	211182.08035999746	0.32516694	85.8	0.8399022048271503	0.4243802356753256	0	6.387153665241834e-06	0.0005731875053595545	0.8347329497337341	0.8741741725089766
HEK293T_A60	0	154379.0	9525	2	0	0	76039.0	8046	154379.0	9525	154379.0	76039.0	154379.0	211937.63555924056	0.29461855	63.12	0.9129373444950071	0.4568691026695662	0	4.718721510811478e-06	0.00045135757833775035	0.859107494354248	0.8747121353319424
HEK293T_A61	0	211112.0	10080	3	1	1	155811.0	9274	211112.0	10080	211112.0	155811.0	211112.0	213288.637865209	0.055743575	79.09	0.9288845932235216	0.7061672619357704	0	0.019519674056129404	0.0004940618256917541	0.2540940046310425	0.5314431406951549
HEK293T_A62	0	182175.0	10028	3	3	3	130555.0	8945	182175.0	10028	182175.0	130555.0	182175.0	210915.3602140799	0.45265493	77.94	0.9857899509859188	0.3179050799507566	0	2.9328299574550077e-08	0.9891356963475549	0.999584436416626	0.996558560415277
HEK293T_A63	0	283412.0	10458	2	0	0	161883.0	9213	283412.0	10458	283412.0	161883.0	283412.0	211444.00341199388	0.30328766	63.18	0.9452499206783495	0.4339474837778213	0	7.505554125041566e-07	0.0035240277496439284	0.9074890613555908	0.8853614888821294
HEK293T_A64	0	218881.0	10238	3	3	3	128364.0	9052	218881.0	10238	218881.0	128364.0	218881.0	212054.55429205825	0.28874677	78.12	0.9795347387717147	0.5053587894840733	0	4.5990736219592097e-10	0.9443740699243065	0.9720038771629333	0.9830936577741562
HEK293T_A65	0	274440.0	10879	3	2	2	186907.0	9703	274440.0	10879	274440.0	186907.0	274440.0	213046.86947966766	0.17491019	51.87	0.9679321395290446	0.5949631320506936	0	1.0	1.2186879585282131e-11	0.0	0.0
HEK293T_A66	0	200853.0	10059	1	4	4	122453.0	8860	200853.0	10059	200853.0	122453.0	200853.0	213261.28827052622	0.50225925	48.53	0.7630680014482969	0.2622260429275584	0	4.708563169532593e-06	0.0009914475459777018	0.5030502676963806	0.7856376570994213
HEK293T_A67	0	162394.0	9447	2	3	3	124874.0	8597	162394.0	9447	162394.0	124874.0	162394.0	211224.72216953826	0.1942237	81.02	0.9657416976913684	0.5819547668500207	0	3.3964979144957245e-08	0.09763863968381079	0.9692298173904419	0.9615397516246805
HEK293T_A68	0	277804.0	10704	1	0	0	216683.0	9797	277804.0	10704	277804.0	216683.0	277804.0	210756.5396898533	0.2135055	82.63	0.9741350966180173	0.5618313085258277	0	2.214228180753112e-08	0.1824415416431399	0.996209979057312	0.9654542512952391
HEK293T_A69	0	183182.0	9842	1	4	4	127282.0	8770	183182.0	9842	183182.0	127282.0	183182.0	212941.46051467938	0.12767512	62.72	0.8511442760753672	0.6618133218904881	0	0.003045476314767397	0.000931480206330115	0.388733446598053	0.6577068857128335
HEK293T_A70	0	161842.0	9509	3	3	3	111225.0	8657	161842.0	9509	161842.0	111225.0	161842.0	210304.136293422	0.19195414	82.09	0.9356967245559578	0.5476886749541182	0	2.7684849055643478e-08	0.08203485109794709	0.9571372270584106	0.9457563114907236
